age,gender,race,span_hisp_latin,marital_status,education_level,active_certification_license,disability,health_status,insurance_coverage_flag,citizenship,birth_country,immigration_period,employed_or_not,worker_class,industry,total_income,taxable_income,poverty_category,child_outside_household,child_support_flag,annual_child_support,household_status,metropolitan_status,state,region,household_income,financial_assistance_flag
38,1,1,2,1,43,2,2,1,1,1,57,0,1,1,4,120352,191884,4,2,0,0,1,2,33,1,220454,2
28,2,1,2,7,43,2,2,2,1,1,57,0,1,1,9,55527,43527,4,2,0,0,1,2,33,1,55527,2
25,1,1,1,1,42,2,2,1,1,4,329,13,1,1,11,41202,57704,4,2,0,0,1,2,33,1,81704,2
23,2,1,2,1,43,1,2,1,1,1,57,0,1,1,10,40502,0,4,2,0,0,2,2,33,1,81704,2
30,2,1,1,1,43,2,2,2,1,1,57,0,1,1,11,24000,50100,4,2,0,0,1,2,33,1,74100,2
34,1,1,2,1,43,2,2,2,1,1,57,0,1,1,11,50100,0,4,2,0,0,2,2,33,1,74100,2
29,1,1,2,1,43,2,2,2,1,1,57,0,1,1,4,48690,34690,4,2,0,0,1,2,33,1,58690,2
33,2,1,2,1,43,2,2,4,1,1,57,0,1,1,7,10000,0,4,2,0,0,2,2,33,1,58690,2
31,2,1,2,1,44,1,2,1,1,1,57,0,2,5,11,40015,72240,4,2,0,0,1,2,33,1,96240,2
34,1,1,2,1,44,2,2,1,1,1,57,0,1,5,4,56225,0,4,2,0,0,2,2,33,1,96240,2
36,2,1,2,1,39,2,2,1,1,1,57,0,7,0,0,0,51000,4,2,0,0,1,2,33,1,75000,2
36,1,1,2,1,39,2,2,1,1,1,57,0,1,1,4,75000,0,4,2,0,0,2,2,33,1,75000,2
25,2,1,2,7,39,2,2,2,2,1,57,0,6,0,0,3000,0,1,2,0,0,1,2,33,1,3000,2
23,2,1,2,7,39,2,2,1,1,1,57,0,1,1,10,46000,34000,4,2,0,0,5,2,33,1,98000,2
28,2,1,2,5,39,2,2,1,1,1,57,0,1,1,5,25000,13000,4,2,0,0,5,2,33,1,149459,2
26,2,1,2,7,39,2,2,1,2,5,106,17,1,1,5,4005,0,4,2,0,0,5,2,33,1,194786,2
26,1,1,2,7,39,2,2,1,1,1,57,0,1,1,5,25001,13001,4,2,0,0,6,2,33,1,194786,2
25,1,1,2,7,39,2,2,1,1,1,57,0,1,1,5,50001,38001,4,2,0,0,1,2,33,1,50001,2
33,2,1,2,3,44,1,2,1,1,1,57,0,7,0,0,871,0,1,2,0,0,1,2,33,1,871,2
27,2,1,2,7,40,1,2,3,1,1,57,0,1,3,13,37110,19110,4,2,0,0,5,2,33,1,73100,2
23,1,1,2,7,43,2,2,1,1,1,57,0,1,1,8,2,0,4,2,0,0,5,2,33,1,35756,2
36,1,1,2,1,44,2,2,3,1,1,57,0,1,1,9,86000,62000,4,2,0,0,1,2,33,1,86000,2
29,1,1,2,1,42,2,2,1,1,1,57,0,1,1,9,53205,77927,4,2,0,0,1,2,33,1,103406,2
33,2,1,2,1,44,1,2,1,1,1,57,0,1,1,10,50201,0,4,2,0,0,2,2,33,1,103406,2
27,2,1,2,1,43,1,2,2,1,1,57,0,1,1,10,45200,83200,4,2,0,0,1,2,33,1,107200,2
28,1,1,2,1,42,2,2,2,2,1,57,0,1,1,9,62000,0,4,2,0,0,2,2,33,1,107200,2
36,2,1,2,5,39,2,2,1,1,1,57,0,1,1,8,44001,26001,4,2,0,0,1,2,33,1,48401,2
32,1,1,2,7,40,2,2,3,1,1,57,0,1,1,3,32000,20000,4,2,0,0,5,2,33,1,116204,2
36,2,1,2,1,44,2,2,2,1,1,57,0,1,1,10,22860,25360,4,2,0,0,1,2,33,1,58960,2
33,2,1,2,1,44,1,2,1,1,1,57,0,1,1,10,70000,111000,4,2,0,0,1,2,33,1,135000,2
34,1,1,2,1,40,2,2,1,1,1,57,0,1,1,4,65000,0,4,2,0,0,2,2,33,1,135000,2
36,2,1,2,6,44,1,2,2,1,1,57,0,1,1,10,83020,55073,4,1,2,0,1,2,33,1,83020,2
35,2,1,2,7,39,2,2,2,1,1,57,0,2,1,11,26000,14000,4,2,0,0,1,2,33,1,58000,2
30,1,1,2,1,42,2,2,3,1,1,57,0,1,3,13,30321,36492,4,2,0,0,1,2,33,1,60492,2
30,2,1,2,1,44,1,2,2,1,1,57,0,1,1,10,30171,0,4,2,0,0,2,2,33,1,60492,2
26,1,1,2,7,43,1,2,2,1,1,57,0,1,3,13,72021,45021,4,2,0,0,1,2,33,1,107021,2
28,1,6,2,1,40,2,2,2,1,1,57,0,1,1,11,16500,8500,3,1,1,780,1,2,33,1,32500,2
25,2,6,2,1,39,2,2,2,1,1,57,0,1,1,9,16000,0,3,2,0,0,2,2,33,1,32500,2
30,1,1,2,1,44,2,2,3,1,1,57,0,1,1,9,70020,83022,4,2,0,0,1,2,33,1,107022,2
